Time,Var2,Var3,Var4,Var5,Var6,Var7
0.3526,6432.52897655683,-19890.772935611,13458.2439590549,3.91876584808218,-12.1179223860703,8.19915653801125
0.35265,6794.29537528886,-19963.6943297714,13169.3989544832,4.13915221265899,-12.1623346040829,8.02318239144703
0.3527,7153.64783263436,-20029.5227146218,12875.8748819882,4.35806804477355,-12.2024259075411,7.84435786279061
0.35275,7510.45866907991,-20088.2346984954,12577.7760294162,4.57543573575508,-12.2381819700124,7.66274623428035
0.3528,7864.6011078324,-20139.8094227852,12275.2083149535,4.79117804786007,-12.2695900996598,7.47841205182271
0.35285,8215.9493192426,-20184.2285677196,11968.2792484777,5.00521846405212,-12.2966390936154,7.29142062958623
0.3529,8564.37846700098,-20221.4763596102,11657.0978926099,5.21748090469102,-12.3193194202729,7.10183851560484
0.35295,8909.76475259754,-20251.5395752065,11341.7748226097,5.4278900662978,-12.3376230497763,6.90973298350142
0.353,9251.98545997084,-20274.4075455752,11022.422085605,5.63637115040915,-12.3515436401159,6.71517248972962
0.35305,9590.9189979444,-20290.0721570304,10699.1531590867,5.84285018514082,-12.3610763379508,6.51822615283276
0.3531,9926.44494364884,-20298.5278530003,10372.0829093521,6.04725376369778,-12.3662179681984,6.31896420452342
0.35315,10258.4440838756,-20299.7716334548,10041.3275495799,6.24950934595753,-12.366966807213,6.1174574612782
0.3532,10586.798457574,-20293.8030555618,9707.00459798848,6.44954500813763,-12.3633227825327,5.91377777441781
0.35325,10911.3913966721,-20280.6242326631,9369.23283599168,6.6472897269901,-12.3552872285291,5.70799750156166
0.3533,11232.1075689562,-20260.2398353613,9028.13226640577,6.84267315036954,-12.3428631112809,5.50018996093392
0.35335,11548.8330190743,-20232.6570904902,8683.82407141659,7.0356258691884,-12.326054776152,5.29042890698614
0.3534,11861.4552099136,-20197.8857802357,8336.43057032268,7.22607920311138,-12.3048681937292,5.07878899064037
0.35345,12169.8630617588,-20155.9382389624,7986.07517720431,7.41396545712752,-12.2793106995936,4.8653452424886
0.3535,12473.9469934102,-20106.8293516597,7632.88235825017,7.59921772891236,-12.2493912686072,4.65017353971723
0.35355,12773.5989610962,-20050.5765497884,7276.97758869285,7.78177015152383,-12.2151202478197,4.43335009631821
0.3536,13068.7124975494,-19987.1998066992,6918.48730915059,7.96155771464929,-12.1765096489068,4.21495193427981
0.35365,13359.1827486767,-19916.721630406,6557.53888173003,8.13851648887937,-12.1335728687195,3.99505637986241
0.3537,13644.9065122491,-19839.1670575648,6194.26054531642,8.31258346732544,-12.0863250023982,3.77374153509499
0.35375,13925.7822744087,-19754.5636448403,5828.78137043226,8.48369677470361,-12.0347825511328,3.55108577645139
0.3538,14201.7102471441,-19662.9414602279,5461.23121308456,8.65179552926524,-11.9789637500049,3.32716822076175
0.35385,14472.5924033161,-19564.3330716283,5091.7406683129,8.81682003580831,-11.9188882580792,3.10206822229292
0.3539,14738.3325124137,-19458.7735351749,4720.44102276188,8.97871166288349,-11.8545774911916,2.87586582833008
0.35395,14998.8361730922,-19346.3003802355,4347.46420714387,9.13741301119348,-11.7860542833313,2.64864127215982
0.354,15254.0108448657,-19226.9535932801,3972.94274841499,9.29286778669194,-11.7133432072237,2.4204754205537
0.35405,15503.765877393,-19100.7755998923,3597.0097225,9.44502093719317,-11.6364702050077,2.19144926783636
0.3541,15748.0125437845,-18967.8112495482,3219.79870576447,9.59381854833016,-11.5554629193748,1.9616443710664
0.35415,15986.6640719371,-18828.1077985478,2841.44372661141,9.73920796201137,-11.4703503049266,1.73114234293695
0.3542,16219.6356744036,-18681.7148916148,2462.07921721193,9.88113767610133,-11.3811629572773,1.50002528119767
0.35425,16446.8445759118,-18528.6845421539,2081.83996624283,10.0195574400205,-11.2879327084113,1.26837526841242
0.3543,16668.2100452634,-18369.0711155496,1700.86107028687,10.154418185519,-11.1906929778746,1.03627479237723
0.35435,16883.6534250293,-18202.9313107338,1319.27788570511,10.2856721114076,-11.0894783630008,0.803806251614732
0.3544,17093.0981596029,-18030.3241404701,937.225980867802,10.413272625404,-10.9843250008819,0.571052375499323
0.35445,17296.469820863,-17851.3109103901,554.841089527821,10.5371744117125,-10.8752701550763,0.338095743385217
0.3545,17493.6961380387,-17665.9552005276,172.259062489499,10.6573334085193,-10.7623526066032,0.105019198105285
0.35455,17684.7070248128,-17474.3228446314,-210.384180180696,10.7737068655016,-10.6456122405937,-0.128094624886646
0.3546,17869.4346039645,-17276.4819075711,-592.952696392727,10.8862533280901,-10.5250904472231,-0.361162880845782
0.35465,18047.8132293111,-17072.5026611827,-975.310568127688,10.9949326731874,-10.4008297033839,-0.594102969782321
0.3547,18219.7795122358,-16862.457562265,-1357.32194997022,11.0997061275343,-10.2728739978602,-0.826832129653057
0.35475,18385.2723455166,-16646.4212282493,-1738.85111726664,11.2005362911522,-10.1412684087248,-1.05926788240643
0.3548,18544.232924976,-16424.4704108999,-2119.76251407547,11.2973871645571,-10.0060595332391,-1.29132763129703
